REF,SECTION NUMBER,NAME,DATE,CHAINAGE,OFFSET/BRG,LEVEL,EASTING,NORTHING,BANK,MANNINGS,GROUND,VEGETATION
WLEVEL,4.01,RIV3.00002,24/10/2022,1.7,78.2,260.99,260438.03,365283.82,WATER,,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,-3.38,261.38,260421.95,365280.46,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,-2.26,261.55,260423.05,365280.69,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,-1.09,261.58,260424.19,365280.93,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,0.0,261.63,260425.26,365281.15,LEFT,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,1.42,261.53,260426.65,365281.44,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,2.58,261.47,260427.79,365281.68,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,4.0,261.28,260429.18,365281.97,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,4.99,261.26,260430.14,365282.17,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,6.14,261.3,260431.27,365282.41,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,6.67,261.28,260431.79,365282.51,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,7.6,261.29,260432.7,365282.7,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,8.6,261.17,260433.68,365282.91,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,9.79,261.16,260434.84,365283.15,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,10.8,261.1,260435.83,365283.36,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,11.82,261.05,260436.83,365283.57,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,12.83,260.99,260437.82,365283.77,,,,
BED,4.01,RIV3.00002,24/10/2022,1.7,13.15,260.87,260438.13,365283.84,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,13.77,260.81,260438.74,365283.97,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,14.39,260.77,260439.35,365284.09,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,14.82,260.69,260439.77,365284.18,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,15.31,260.71,260440.25,365284.28,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,15.79,260.73,260440.72,365284.38,,0.035,gravel,
BED,4.01,RIV3.00002,24/10/2022,1.7,15.95,260.97,260440.87,365284.41,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,15.97,260.98,260440.89,365284.42,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,16.67,261.03,260441.58,365284.56,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,17.52,261.2,260442.41,365284.73,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,18.17,261.29,260443.05,365284.87,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,18.82,261.57,260443.68,365285.0,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,19.82,262.41,260444.66,365285.2,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,21.0,263.45,260445.82,365285.45,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,22.59,264.52,260447.37,365285.77,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,23.85,265.32,260448.61,365286.03,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,25.05,265.98,260449.78,365286.27,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,26.38,266.32,260451.08,365286.55,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,27.74,266.52,260452.41,365286.82,,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,29.09,266.56,260453.73,365287.1,RIGHT,0.07,soil,Grass
BED,4.01,RIV3.00002,24/10/2022,1.7,31.59,266.29,260456.18,365287.61,,0.07,soil,Grass
WLEVEL,4.02,RIV3.00008,24/10/2022,8.3,78.9,261.19,260439.94,365277.48,WATER,,gravel,
BED,4.02,RIV3.00008,24/10/2022,8.3,0.0,263.82,260423.11,365274.19,LEFT,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,1.73,263.42,260424.81,365274.52,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,3.45,263.3,260426.5,365274.85,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,4.43,263.28,260427.46,365275.04,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,5.19,263.25,260428.2,365275.19,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,6.65,263.23,260429.64,365275.47,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,8.29,263.09,260431.25,365275.78,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,8.93,262.64,260431.87,365275.9,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,9.8,262.28,260432.73,365276.07,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,10.69,261.78,260433.6,365276.24,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,11.6,261.49,260434.49,365276.42,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,12.64,261.37,260435.52,365276.61,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,13.82,261.43,260436.67,365276.84,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,15.05,261.5,260437.88,365277.08,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,16.37,261.34,260439.18,365277.33,,0.07,soil,Grass
BED,4.02,RIV3.00008,24/10/2022,8.3,16.6,261.25,260439.4,365277.37,,0.07,soil,Grass
