REF,SECTION NUMBER,NAME,DATE,CHAINAGE,OFFSET/BRG,LEVEL,EASTING,NORTHING,BANK,MANNINGS,GROUND,VEGETATION
WLEVEL,2.01,TRI1.00005,10/10/2022,4.6,158.8,263.09,260429.31,365591.81,WATER,,soil,
BED,2.01,TRI1.00005,10/10/2022,4.6,-4.97,263.6,260425.69,365601.16,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,-4.22,263.67,260425.96,365600.47,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,-3.49,263.67,260426.22,365599.78,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,-2.74,263.66,260426.49,365599.09,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,-2.14,263.58,260426.71,365598.53,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,-1.53,263.64,260426.93,365597.96,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,-0.76,263.6,260427.21,365597.24,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,0.0,263.62,260427.48,365596.53,LEFT,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,0.89,263.57,260427.8,365595.7,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,1.51,263.5,260428.03,365595.12,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,2.11,263.46,260428.24,365594.56,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,2.55,263.28,260428.4,365594.15,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,3.04,263.13,260428.58,365593.69,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,3.29,263.09,260428.67,365593.46,,,,
BED,2.01,TRI1.00005,10/10/2022,4.6,3.79,263.02,260428.85,365593.0,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,4.35,263.0,260429.05,365592.47,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,4.88,263.0,260429.24,365591.98,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,5.44,263.03,260429.44,365591.46,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,6.28,263.14,260429.75,365590.67,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,7.18,263.1,260430.07,365589.83,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,7.87,263.22,260430.32,365589.19,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,8.4,263.3,260430.51,365588.7,,0.07,soil,Grass
BED,2.01,TRI1.00005,10/10/2022,4.6,8.51,263.32,260430.55,365588.59,,0.04,masonry,
BED,2.01,TRI1.00005,10/10/2022,4.6,8.59,264.02,260430.58,365588.52,RIGHT,0.04,masonry,
BED,2.01,TRI1.00005,10/10/2022,4.6,9.14,264.05,260430.78,365588.01,,0.04,masonry,
BED,2.01,TRI1.00005,10/10/2022,4.6,9.25,263.59,260430.82,365587.9,,0.016,tarmacadam,
BED,2.01,TRI1.00005,10/10/2022,4.6,9.99,263.62,260431.09,365587.21,,0.016,tarmacadam,
BED,2.01,TRI1.00005,10/10/2022,4.6,11.89,263.69,260431.77,365585.44,,0.016,tarmacadam,
BED,2.01,TRI1.00005,10/10/2022,4.6,12.41,263.7,260431.96,365584.96,,0.016,tarmacadam,
BED,2.01,TRI1.00005,10/10/2022,4.6,13.22,263.7,260432.25,365584.2,,0.016,tarmacadam,
WLEVEL,2.02,TRI1.00011,10/10/2022,10.7,174.3,263.11,260423.32,365590.98,WATER,,soil,
BED,2.02,TRI1.00011,10/10/2022,10.7,-5.43,263.69,260422.43,365599.92,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,-4.52,263.65,260422.52,365599.02,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,-3.61,263.62,260422.61,365598.11,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,-2.66,263.64,260422.71,365597.17,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,-1.74,263.67,260422.8,365596.25,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,-0.84,263.85,260422.89,365595.36,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,-0.64,263.86,260422.91,365595.16,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,0.0,263.87,260422.97,365594.52,LEFT,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,0.69,263.79,260423.04,365593.83,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,1.37,263.8,260423.11,365593.16,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,2.31,263.78,260423.2,365592.22,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,2.94,263.29,260423.26,365591.59,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,3.08,263.09,260423.28,365591.46,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,3.21,263.05,260423.29,365591.33,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,3.61,263.06,260423.33,365590.93,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,3.76,263.07,260423.34,365590.78,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,4.12,263.1,260423.38,365590.42,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,4.56,263.4,260423.42,365589.98,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,5.25,263.43,260423.49,365589.3,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,5.85,263.48,260423.55,365588.7,RIGHT,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,6.56,263.45,260423.62,365587.99,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,7.23,263.52,260423.69,365587.33,,0.07,soil,Grass
BED,2.02,TRI1.00011,10/10/2022,10.7,7.68,263.55,260423.73,365586.88,,0.07,soil,Grass
