REF,SECTION NUMBER,NAME,DATE,CHAINAGE,OFFSET/BRG,LEVEL,EASTING,NORTHING,BANK,MANNINGS,GROUND,VEGETATION
WLEVEL,1.001,RIV1.00006,03/10/2022,6.1,130.3,245.65,260650.9,365933.5,WATER,,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,-5.27,247.13,260643.7,365939.6,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-4.54,247.16,260644.25,365939.12,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-3.93,247.21,260644.72,365938.73,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-2.85,247.29,260645.54,365938.03,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-2.53,247.32,260645.79,365937.82,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-1.8,247.32,260646.35,365937.35,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-0.92,247.28,260647.02,365936.78,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,-0.38,247.31,260647.43,365936.44,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,0.0,247.32,260647.72,365936.19,LEFT,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,0.25,247.13,260647.91,365936.03,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,0.4,247.09,260648.03,365935.93,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,0.84,246.8,260648.36,365935.65,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,1.75,246.26,260649.06,365935.06,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,2.25,245.93,260649.44,365934.74,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,3.0,245.82,260650.01,365934.25,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,3.18,245.78,260650.15,365934.14,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,3.54,245.73,260650.42,365933.9,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,3.7,245.54,260650.54,365933.8,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,3.8,245.54,260650.62,365933.73,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,4.03,245.56,260650.8,365933.59,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,4.26,245.56,260650.97,365933.44,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,4.46,245.56,260651.12,365933.31,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,4.51,245.59,260651.16,365933.28,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,4.54,245.65,260651.19,365933.26,,0.035,gravel,
BED,1.001,RIV1.00006,03/10/2022,6.1,4.78,245.9,260651.37,365933.1,RIGHT,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,5.03,245.89,260651.56,365932.94,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,5.6,245.86,260651.99,365932.57,,0.05,soil,Light Trees
BED,1.001,RIV1.00006,03/10/2022,6.1,6.13,245.83,260652.4,365932.23,,0.05,soil,Light Trees
