REF,SECTION NUMBER,NAME,DATE,CHAINAGE,OFFSET/BRG,LEVEL,EASTING,NORTHING,BANK,MANNINGS,GROUND,VEGETATION
WLEVEL,5.01,RIV4.00003,31/10/2022,2.8,119.1,267.68,260201.89,366007.38,WATER,,gravel,
BED,5.01,RIV4.00003,31/10/2022,2.8,-4.55,269.05,260196.24,366010.52,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,-3.9,269.03,260196.81,366010.21,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,-3.24,269.0,260197.39,366009.89,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,-2.65,269.02,260197.9,366009.6,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,-2.05,269.02,260198.43,366009.31,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,-1.23,268.91,260199.15,366008.91,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,-0.63,268.9,260199.67,366008.62,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,0.0,268.93,260200.22,366008.31,LEFT,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,0.56,268.61,260200.71,366008.04,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,1.26,268.24,260201.32,366007.7,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,1.68,268.04,260201.69,366007.49,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,2.11,267.88,260202.06,366007.28,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,2.3,267.79,260202.23,366007.19,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,2.32,267.68,260202.25,366007.18,,,,
BED,5.01,RIV4.00003,31/10/2022,2.8,2.44,267.53,260202.35,366007.12,,0.035,gravel,
BED,5.01,RIV4.00003,31/10/2022,2.8,2.53,267.47,260202.43,366007.08,,0.035,gravel,
BED,5.01,RIV4.00003,31/10/2022,2.8,2.68,267.47,260202.56,366007.01,,0.035,gravel,
BED,5.01,RIV4.00003,31/10/2022,2.8,2.82,267.45,260202.68,366006.94,,0.035,gravel,
BED,5.01,RIV4.00003,31/10/2022,2.8,2.93,267.75,260202.78,366006.89,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,3.05,268.01,260202.89,366006.83,,0.04,masonry,
BED,5.01,RIV4.00003,31/10/2022,2.8,3.35,268.47,260203.15,366006.68,RIGHT,0.04,masonry,
BED,5.01,RIV4.00003,31/10/2022,2.8,3.71,268.42,260203.46,366006.51,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,4.55,268.45,260204.2,366006.1,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,4.99,268.43,260204.58,366005.88,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,5.43,268.45,260204.97,366005.67,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,6.32,268.42,260205.74,366005.24,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,7.31,268.44,260206.61,366004.76,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,7.91,268.36,260207.13,366004.46,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,8.57,268.34,260207.71,366004.14,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,9.16,268.33,260208.22,366003.86,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,9.74,268.28,260208.73,366003.57,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,10.31,268.28,260209.23,366003.3,,0.07,soil,Grass
BED,5.01,RIV4.00003,31/10/2022,2.8,10.85,268.27,260209.7,366003.04,,0.07,soil,Grass
WLEVEL,5.02,RIV4.00009,31/10/2022,8.6,112.7,268.0,260199.54,366002.07,WATER,,gravel,
BED,5.02,RIV4.00009,31/10/2022,8.6,0.0,269.47,260193.9,366004.43,LEFT,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,0.96,269.39,260194.79,366004.06,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,1.51,269.38,260195.29,366003.85,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,2.06,269.36,260195.8,366003.64,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,2.95,269.29,260196.62,366003.29,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,3.88,269.2,260197.48,366002.93,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,4.76,269.08,260198.29,366002.59,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,5.42,268.79,260198.9,366002.34,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,5.76,268.44,260199.21,366002.21,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,6.26,268.25,260199.68,366002.01,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,6.45,268.16,260199.85,366001.94,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,6.86,268.12,260200.23,366001.78,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,6.89,268.0,260200.26,366001.77,,,,
BED,5.02,RIV4.00009,31/10/2022,8.6,6.97,267.92,260200.33,366001.74,,0.035,gravel,
BED,5.02,RIV4.00009,31/10/2022,8.6,7.03,267.89,260200.39,366001.72,,0.035,gravel,
BED,5.02,RIV4.00009,31/10/2022,8.6,7.04,267.89,260200.4,366001.71,,0.035,gravel,
BED,5.02,RIV4.00009,31/10/2022,8.6,7.23,267.9,260200.57,366001.64,,0.04,masonry,
BED,5.02,RIV4.00009,31/10/2022,8.6,7.28,268.85,260200.62,366001.62,RIGHT,0.04,masonry,
BED,5.02,RIV4.00009,31/10/2022,8.6,7.78,268.73,260201.08,366001.43,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,9.24,268.68,260202.42,366000.87,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,10.24,268.74,260203.35,366000.48,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,11.04,268.75,260204.09,366000.17,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,11.8,268.63,260204.79,365999.88,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,12.73,268.58,260205.64,365999.52,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,13.42,268.52,260206.28,365999.25,,0.07,soil,Grass
BED,5.02,RIV4.00009,31/10/2022,8.6,14.35,268.46,260207.14,365998.89,,0.07,soil,Grass
WLEVEL,5.03,RIV4.00018,31/10/2022,17.9,104.9,268.6,260195.77,365993.52,WATER,,gravel,
BED,5.03,RIV4.00018,31/10/2022,17.9,0.0,269.69,260191.19,365994.74,LEFT,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,0.95,269.56,260192.11,365994.5,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,1.55,269.53,260192.69,365994.34,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,2.18,269.53,260193.3,365994.18,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,3.1,269.41,260194.19,365993.94,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,3.97,269.18,260195.03,365993.72,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,4.55,268.95,260195.59,365993.57,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,4.95,268.78,260195.97,365993.47,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,5.22,268.71,260196.23,365993.4,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,5.62,268.72,260196.62,365993.29,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,5.74,268.71,260196.74,365993.26,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,5.79,268.6,260196.78,365993.25,,,,
BED,5.03,RIV4.00018,31/10/2022,17.9,5.84,268.45,260196.83,365993.24,,0.035,gravel,
BED,5.03,RIV4.00018,31/10/2022,17.9,5.87,268.42,260196.86,365993.23,,0.035,gravel,
BED,5.03,RIV4.00018,31/10/2022,17.9,5.92,268.46,260196.91,365993.22,,0.035,gravel,
BED,5.03,RIV4.00018,31/10/2022,17.9,6.11,268.76,260197.09,365993.17,,0.04,masonry,
BED,5.03,RIV4.00018,31/10/2022,17.9,6.29,268.94,260197.27,365993.12,,0.07,soil,Grass
BED,5.03,RIV4.00018,31/10/2022,17.9,6.35,269.25,260197.33,365993.1,,0.04,masonry,
BED,5.03,RIV4.00018,31/10/2022,17.9,6.41,269.22,260197.38,365993.09,RIGHT,0.04,masonry,
