PTS,-2.42,249.66,*MA*NO,260637.80,365918.78
PTS,-1.82,249.63,*MA*NO,260638.39,365918.68
PTS,-1.50,249.59,*MA*NO,260638.70,365918.63
PTS,-0.45,249.56,*MA*NO,260639.74,365918.45
PTS,2.02,249.46,*MA*NO,260642.17,365918.03
PTS,2.14,248.92,*MA*NO,260642.29,365918.01
PTS,3.49,248.74,*MA*NO,260643.62,365917.77
PTN,3.49,248.33,*MA*NO,260643.62,365917.77
XSS,-5.08,248.86,*SO*TL,260635.17,365919.24
XSS,-4.17,248.84,*SO*TL,260636.07,365919.08
XSS,-3.82,248.88,*SO*TL,260636.42,365919.02
XSS,-3.12,248.84,*SO*TL,260637.11,365918.90
XSS,-3.12,248.84,*SO*TL,260637.11,365918.90
XSS,-2.48,248.81,*SO*TL,260637.74,365918.79
XSS,-2.19,248.79,*MA*NO,260638.02,365918.74
XSS,-2.14,249.59,*MA*NO,260638.07,365918.73
XSS,-1.50,249.59,*MA*NO,260638.70,365918.63
XSS,-1.46,248.82,*MA*NO,260638.74,365918.62
XSS,-1.43,248.56,*SO*TL,260638.77,365918.61
XSS,-1.19,248.60,*SO*TL,260639.01,365918.57
XSS,-0.97,248.61,*SO*TL,260639.22,365918.54
XSS,-0.53,248.54,*SO*TL,260639.66,365918.46
XSS,-0.50,248.86,*SO*TL,260639.69,365918.46
XSS,-0.42,248.99,*MA*NO,260639.77,365918.44
XSS,0.00,248.99L,*MA*NO,260640.18,365918.37
XSS,0.04,247.55,*MA*NO,260640.22,365918.36
XSS,0.05,247.44,*MA*NO,260640.23,365918.36
XSS,0.56,247.41,*MA*NO,260640.73,365918.27
XSS,0.64,247.40,*MA*NO,260640.81,365918.26
XSS,1.13,247.41,*MA*NO,260641.29,365918.18
XSS,1.17,247.39,*MA*NO,260641.33,365918.17
XSS,1.29,247.39,*MA*NO,260641.45,365918.15
XSS,1.29,247.40,*MA*NO,260641.45,365918.15
XSS,1.32,247.51,*MA*NO,260641.48,365918.14
XSS,1.45,248.33,*SO*TL,260641.61,365918.12
